"Norm_Ux","Points:0","Points:1","Points:2"
-1.4357e-08,0.00015,4.33e-05,4.33e-07
-1.3083e-08,0.00015,4.34e-05,4.34e-07
-1.1809e-08,0.00015,4.35e-05,4.35e-07
-1.0534e-08,0.00015,4.36e-05,4.36e-07
-9.2602e-09,0.00015,4.37e-05,4.37e-07
-7.9859e-09,0.00015,4.38e-05,4.38e-07
-6.7116e-09,0.00015,4.39e-05,4.39e-07
-5.4373e-09,0.00015,4.4e-05,4.4e-07
-4.4066e-09,0.00015,4.41e-05,4.41e-07
-3.3759e-09,0.00015,4.42e-05,4.42e-07
-2.3452e-09,0.00015,4.43e-05,4.43e-07
-1.3144e-09,0.00015,4.44e-05,4.44e-07
-2.837e-10,0.00015,4.45e-05,4.45e-07
7.4699e-10,0.00015,4.46e-05,4.46e-07
1.7777e-09,0.00015,4.47e-05,4.47e-07
2.8085e-09,0.00015,4.48e-05,4.48e-07
3.8392e-09,0.00015,4.49e-05,4.49e-07
4.8699e-09,0.00015,4.5e-05,4.5e-07
5.653e-09,0.00015,4.51e-05,4.51e-07
6.436e-09,0.00015,4.52e-05,4.52e-07
7.2191e-09,0.00015,4.53e-05,4.53e-07
8.0021e-09,0.00015,4.54e-05,4.54e-07
8.7852e-09,0.00015,4.55e-05,4.55e-07
9.5682e-09,0.00015,4.56e-05,4.56e-07
1.0351e-08,0.00015,4.57e-05,4.57e-07
1.1134e-08,0.00015,4.58e-05,4.58e-07
1.1917e-08,0.00015,4.59e-05,4.59e-07
1.27e-08,0.00015,4.6e-05,4.6e-07
1.3261e-08,0.00015,4.61e-05,4.61e-07
1.3821e-08,0.00015,4.62e-05,4.62e-07
1.4381e-08,0.00015,4.63e-05,4.63e-07
1.4941e-08,0.00015,4.64e-05,4.64e-07
1.5502e-08,0.00015,4.65e-05,4.65e-07
1.6062e-08,0.00015,4.66e-05,4.66e-07
1.6622e-08,0.00015,4.67e-05,4.67e-07
1.7182e-08,0.00015,4.68e-05,4.68e-07
1.7743e-08,0.00015,4.69e-05,4.69e-07
1.8303e-08,0.00015,4.7e-05,4.7e-07
1.8673e-08,0.00015,4.71e-05,4.71e-07
1.9043e-08,0.00015,4.72e-05,4.72e-07
1.9413e-08,0.00015,4.73e-05,4.73e-07
1.9783e-08,0.00015,4.74e-05,4.74e-07
2.0153e-08,0.00015,4.75e-05,4.75e-07
2.0523e-08,0.00015,4.76e-05,4.76e-07
2.0894e-08,0.00015,4.77e-05,4.77e-07
2.1264e-08,0.00015,4.78e-05,4.78e-07
2.1634e-08,0.00015,4.79e-05,4.79e-07
2.2004e-08,0.00015,4.8e-05,4.8e-07
2.2213e-08,0.00015,4.81e-05,4.81e-07
2.2422e-08,0.00015,4.82e-05,4.82e-07
2.2631e-08,0.00015,4.83e-05,4.83e-07
2.284e-08,0.00015,4.84e-05,4.84e-07
2.3049e-08,0.00015,4.85e-05,4.85e-07
2.3258e-08,0.00015,4.86e-05,4.86e-07
2.3467e-08,0.00015,4.87e-05,4.87e-07
2.3676e-08,0.00015,4.88e-05,4.88e-07
2.3885e-08,0.00015,4.89e-05,4.89e-07
2.4094e-08,0.00015,4.9e-05,4.9e-07
2.4162e-08,0.00015,4.91e-05,4.91e-07
2.4229e-08,0.00015,4.92e-05,4.92e-07
2.4297e-08,0.00015,4.93e-05,4.93e-07
2.4364e-08,0.00015,4.94e-05,4.94e-07
2.4431e-08,0.00015,4.95e-05,4.95e-07
2.4499e-08,0.00015,4.96e-05,4.96e-07
2.4566e-08,0.00015,4.97e-05,4.97e-07
2.4634e-08,0.00015,4.98e-05,4.98e-07
2.4701e-08,0.00015,4.99e-05,4.99e-07
2.4769e-08,0.00015,5e-05,5e-07
2.4701e-08,0.00015,5.01e-05,5.01e-07
2.4634e-08,0.00015,5.02e-05,5.02e-07
2.4566e-08,0.00015,5.03e-05,5.03e-07
2.4499e-08,0.00015,5.04e-05,5.04e-07
2.4431e-08,0.00015,5.05e-05,5.05e-07
2.4364e-08,0.00015,5.06e-05,5.06e-07
2.4297e-08,0.00015,5.07e-05,5.07e-07
2.4229e-08,0.00015,5.08e-05,5.08e-07
2.4162e-08,0.00015,5.09e-05,5.09e-07
2.4094e-08,0.00015,5.1e-05,5.1e-07
2.3885e-08,0.00015,5.11e-05,5.11e-07
2.3676e-08,0.00015,5.12e-05,5.12e-07
2.3467e-08,0.00015,5.13e-05,5.13e-07
2.3258e-08,0.00015,5.14e-05,5.14e-07
2.3049e-08,0.00015,5.15e-05,5.15e-07
2.284e-08,0.00015,5.16e-05,5.16e-07
2.2631e-08,0.00015,5.17e-05,5.17e-07
2.2422e-08,0.00015,5.18e-05,5.18e-07
2.2213e-08,0.00015,5.19e-05,5.19e-07
2.2004e-08,0.00015,5.2e-05,5.2e-07
2.1634e-08,0.00015,5.21e-05,5.21e-07
2.1264e-08,0.00015,5.22e-05,5.22e-07
2.0894e-08,0.00015,5.23e-05,5.23e-07
2.0524e-08,0.00015,5.24e-05,5.24e-07
2.0153e-08,0.00015,5.25e-05,5.25e-07
1.9783e-08,0.00015,5.26e-05,5.26e-07
1.9413e-08,0.00015,5.27e-05,5.27e-07
1.9043e-08,0.00015,5.28e-05,5.28e-07
1.8673e-08,0.00015,5.29e-05,5.29e-07
1.8303e-08,0.00015,5.3e-05,5.3e-07
1.7743e-08,0.00015,5.31e-05,5.31e-07
1.7183e-08,0.00015,5.32e-05,5.32e-07
1.6622e-08,0.00015,5.33e-05,5.33e-07
1.6062e-08,0.00015,5.34e-05,5.34e-07
1.5502e-08,0.00015,5.35e-05,5.35e-07
1.4942e-08,0.00015,5.36e-05,5.36e-07
1.4381e-08,0.00015,5.37e-05,5.37e-07
1.3821e-08,0.00015,5.38e-05,5.38e-07
1.3261e-08,0.00015,5.39e-05,5.39e-07
1.2701e-08,0.00015,5.4e-05,5.4e-07
1.1918e-08,0.00015,5.41e-05,5.41e-07
1.1135e-08,0.00015,5.42e-05,5.42e-07
1.0352e-08,0.00015,5.43e-05,5.43e-07
9.5686e-09,0.00015,5.44e-05,5.44e-07
8.7855e-09,0.00015,5.45e-05,5.45e-07
8.0025e-09,0.00015,5.46e-05,5.46e-07
7.2194e-09,0.00015,5.47e-05,5.47e-07
6.4364e-09,0.00015,5.48e-05,5.48e-07
5.6533e-09,0.00015,5.49e-05,5.49e-07
4.8703e-09,0.00015,5.5e-05,5.5e-07
3.8396e-09,0.00015,5.51e-05,5.51e-07
2.8089e-09,0.00015,5.52e-05,5.52e-07
1.7782e-09,0.00015,5.53e-05,5.53e-07
7.4747e-10,0.00015,5.54e-05,5.54e-07
-2.8321e-10,0.00015,5.55e-05,5.55e-07
-1.3139e-09,0.00015,5.56e-05,5.56e-07
-2.3446e-09,0.00015,5.57e-05,5.57e-07
